age,education,hours-per-week,income,workclass_Public,workclass_Self-emp,marital-status_Single,race_Asian,race_Black,race_Hispanic,race_White,sex_Male
30,9,40,<=50K,False,False,False,False,False,False,True,True
30,13,40,<=50K,False,False,False,False,False,False,True,True
48,9,40,<=50K,False,False,False,False,False,False,True,True
42,16,45,>50K,False,False,False,False,False,False,True,True
29,10,58,<=50K,False,False,True,False,False,False,True,True
38,9,40,<=50K,False,False,False,False,False,False,True,True
28,10,40,<=50K,False,False,True,False,False,False,True,False
53,9,40,>50K,False,False,False,False,False,False,True,False
49,10,50,>50K,False,True,False,False,False,False,True,True
19,10,32,<=50K,False,False,True,False,False,False,True,True
31,13,40,<=50K,False,False,True,False,True,False,False,False
29,13,70,>50K,False,True,False,False,False,False,True,True
23,10,40,<=50K,False,False,True,False,False,False,True,True
79,10,20,<=50K,False,False,False,False,False,False,True,True
27,9,40,<=50K,False,False,True,False,False,False,True,True
40,12,40,<=50K,False,False,False,False,False,False,True,True
18,7,22,<=50K,False,False,True,False,False,False,True,False
31,4,40,<=50K,True,False,False,False,False,False,True,True
38,9,30,<=50K,False,False,True,False,False,False,True,True
52,13,40,<=50K,False,False,False,False,False,False,True,True
46,9,40,<=50K,False,False,False,False,False,False,True,False
59,9,48,<=50K,False,False,False,False,False,False,True,True
44,9,40,>50K,False,False,True,False,False,False,True,False
53,9,35,<=50K,False,False,True,False,False,False,True,False
49,9,40,>50K,True,False,False,False,False,False,True,True
33,14,50,<=50K,False,False,False,False,False,False,True,True
30,5,40,<=50K,False,False,True,False,False,False,True,True
38,16,50,>50K,True,False,True,False,False,False,True,False
57,11,40,<=50K,False,False,False,False,False,False,True,True
37,10,40,<=50K,False,False,True,False,False,False,True,False
28,10,25,<=50K,False,False,True,False,True,False,False,False
30,9,35,<=50K,False,False,False,True,False,False,False,False
34,13,40,>50K,True,False,False,False,False,False,True,True
38,10,50,<=50K,True,False,True,False,False,False,True,True
48,16,60,>50K,False,True,False,False,False,False,True,True
37,10,48,>50K,False,False,False,False,False,False,True,True
48,12,40,<=50K,False,False,True,False,False,False,True,False
32,9,40,<=50K,True,False,True,False,True,False,False,True
76,14,40,>50K,False,False,False,False,False,False,True,True
44,13,60,>50K,False,False,False,False,False,False,True,True
47,14,50,<=50K,False,True,True,False,False,False,True,False
20,10,40,<=50K,False,False,True,False,False,False,True,False
29,9,40,<=50K,False,False,True,False,False,False,True,True
32,9,40,>50K,False,True,False,False,False,False,True,True
30,7,40,<=50K,False,False,True,False,False,False,True,True
31,9,40,<=50K,True,False,True,False,False,False,True,False
42,9,40,<=50K,False,False,False,False,False,False,True,True
24,13,40,<=50K,False,False,True,False,False,False,True,True
38,15,40,>50K,False,False,False,False,False,False,True,True
56,9,50,>50K,False,True,False,False,False,False,True,True
38,10,25,<=50K,False,False,False,False,False,False,True,False
36,9,40,<=50K,False,False,True,False,False,False,True,False
53,5,50,<=50K,False,False,False,False,False,False,True,True
56,10,50,<=50K,False,True,False,False,False,False,True,True
49,11,40,>50K,True,False,False,False,True,False,False,True
55,10,56,<=50K,False,False,False,False,False,False,True,True
22,9,41,<=50K,False,False,True,False,False,False,True,True
21,10,40,<=50K,False,False,True,False,False,False,True,False
40,13,60,<=50K,False,False,False,False,False,False,True,True
30,13,40,<=50K,False,False,True,False,True,False,False,True
29,13,50,>50K,True,False,False,False,False,False,True,True
19,10,35,<=50K,False,False,True,False,True,False,False,True
47,13,40,>50K,False,False,False,False,False,False,True,False
20,10,28,<=50K,False,False,True,False,False,False,True,False
31,12,40,>50K,False,False,False,False,False,False,True,True
39,10,40,<=50K,False,False,True,False,False,False,True,True
28,12,60,<=50K,False,False,True,False,False,False,True,False
24,9,40,<=50K,False,False,True,False,False,False,True,False
38,9,35,<=50K,False,True,False,False,False,False,True,True
37,13,50,<=50K,False,False,False,False,False,False,True,True
46,12,36,<=50K,False,False,True,False,True,False,False,False
38,14,40,>50K,True,False,False,False,False,False,True,True
43,9,60,<=50K,False,True,False,False,False,False,True,True
27,11,35,<=50K,False,False,False,False,False,False,True,False
20,10,20,<=50K,False,False,True,False,False,False,True,True
49,10,40,>50K,False,False,False,True,False,False,False,True
61,9,40,<=50K,False,True,False,False,False,False,True,True
27,10,40,<=50K,False,False,True,False,False,False,True,False
19,10,30,<=50K,False,False,True,False,False,False,True,True
45,11,40,>50K,False,False,True,False,False,False,True,False
70,10,40,<=50K,False,False,True,False,False,False,True,True
31,9,30,<=50K,False,False,True,False,True,False,False,False
22,10,24,<=50K,False,False,False,False,False,False,True,True
38,9,24,<=50K,False,False,False,False,False,False,True,False
64,7,40,<=50K,False,False,False,False,False,False,True,True
47,10,38,<=50K,True,False,True,False,False,False,True,False
34,9,40,<=50K,False,False,True,False,False,False,True,False
33,13,40,<=50K,False,False,True,True,False,False,False,False
21,9,35,<=50K,False,False,True,False,False,False,True,True
48,9,46,<=50K,False,False,False,False,False,False,True,True
23,13,40,<=50K,False,False,True,False,False,False,True,True
71,10,2,<=50K,False,True,True,False,True,False,False,True
29,9,60,<=50K,False,False,True,False,False,False,True,True
38,13,50,<=50K,False,False,True,False,True,False,False,True
25,9,40,<=50K,False,False,True,False,False,False,True,False
44,14,40,<=50K,False,True,True,True,False,False,False,False
28,9,40,<=50K,False,False,True,True,False,False,False,False
45,14,40,>50K,False,True,False,False,False,False,True,True
36,10,40,<=50K,False,False,True,False,False,False,True,False
39,12,42,<=50K,True,False,True,False,False,False,True,True
46,14,40,<=50K,True,False,False,False,False,False,True,True
18,7,16,<=50K,False,False,True,False,False,False,True,True
66,11,20,<=50K,True,False,False,False,False,False,True,False
27,9,40,<=50K,False,False,True,False,False,False,True,True
28,9,40,<=50K,True,False,False,False,False,False,True,True
51,10,40,>50K,False,False,False,False,False,False,True,True
27,13,50,<=50K,False,False,True,False,False,False,True,True
28,13,40,>50K,True,False,False,False,False,False,True,True
27,9,25,<=50K,False,False,False,False,False,False,True,False
21,9,40,<=50K,False,False,True,False,True,False,False,True
34,9,40,<=50K,False,False,True,False,True,False,False,True
18,9,12,<=50K,False,False,True,False,False,False,True,True
33,13,65,<=50K,False,False,False,False,False,False,True,True
38,10,38,>50K,True,False,False,False,True,False,False,True
43,10,40,<=50K,False,False,True,False,False,False,True,False
30,10,45,<=50K,False,False,True,False,True,False,False,True
40,4,40,>50K,False,False,False,False,False,False,True,True
37,10,42,>50K,True,False,False,False,False,False,True,True
34,9,40,<=50K,False,False,False,False,True,False,False,True
41,13,40,<=50K,False,True,True,False,False,False,True,False
31,14,50,<=50K,False,False,False,False,False,False,True,False
58,16,1,>50K,True,False,False,False,False,False,True,True
38,10,28,<=50K,False,False,True,False,True,False,False,False
24,10,40,<=50K,False,False,False,False,False,False,True,True
38,13,40,<=50K,True,False,False,False,True,False,False,True
47,10,45,<=50K,False,False,False,False,False,False,True,True
41,13,24,<=50K,True,False,False,False,False,False,True,True
23,3,40,<=50K,False,False,False,False,False,False,True,True
36,10,40,<=50K,False,False,True,False,False,False,True,True
40,14,55,>50K,True,False,True,False,False,False,True,False
35,14,40,>50K,False,False,False,False,False,False,True,True
24,9,40,<=50K,False,True,True,False,False,False,True,True
26,14,40,<=50K,False,False,True,False,False,False,True,False
51,13,50,>50K,False,False,False,False,False,False,True,True
42,10,40,<=50K,True,False,True,False,False,False,True,False
37,9,35,<=50K,True,False,True,False,False,False,True,False
18,7,40,<=50K,False,False,True,False,False,False,True,False
36,13,36,>50K,False,False,False,False,True,False,False,True
35,9,60,<=50K,False,False,True,False,False,False,True,True
58,9,35,>50K,False,True,False,False,False,False,True,False
17,7,12,<=50K,False,False,True,False,False,False,True,False
38,9,40,<=50K,True,False,False,False,True,False,False,True
37,9,40,>50K,False,False,False,False,False,False,True,True
35,10,40,<=50K,False,False,True,False,False,False,False,False
60,9,40,<=50K,False,False,False,True,False,False,False,True
54,4,40,>50K,False,True,False,False,False,False,True,True
37,13,60,>50K,False,False,True,False,True,False,False,True
50,12,40,<=50K,False,False,True,False,False,False,True,False
38,13,50,<=50K,False,False,False,False,False,False,True,True
45,13,55,<=50K,False,False,False,False,False,False,True,True
25,6,40,<=50K,False,False,True,False,False,False,True,True
31,10,40,<=50K,False,False,False,False,False,False,True,True
90,9,40,<=50K,False,False,True,False,True,False,False,True
54,9,20,<=50K,False,False,False,False,True,False,False,True
53,1,35,<=50K,True,False,True,False,False,False,True,False
18,9,40,<=50K,False,False,True,False,False,False,True,False
66,9,50,<=50K,False,True,False,False,False,False,True,True
75,11,20,<=50K,False,False,False,False,False,False,True,False
65,9,40,<=50K,False,False,True,False,False,False,True,False
35,7,40,<=50K,False,False,True,False,True,False,False,True
41,9,38,<=50K,False,False,True,False,True,False,False,False
25,10,42,<=50K,False,False,True,False,False,False,True,True
33,10,40,<=50K,False,False,True,False,False,True,False,False
38,15,55,>50K,False,False,True,False,False,False,True,True
59,9,40,<=50K,True,False,False,False,False,False,True,True
40,10,38,<=50K,True,False,True,False,False,False,True,False
41,13,50,>50K,False,False,False,False,False,False,True,True
38,14,70,>50K,True,False,False,False,False,False,True,True
23,9,40,<=50K,False,False,True,False,False,False,True,True
40,13,40,>50K,False,False,False,False,False,False,True,True
41,9,20,<=50K,False,True,False,False,False,False,True,False
24,12,50,<=50K,True,False,False,False,False,False,True,True
38,10,40,<=50K,False,False,True,False,False,False,True,True
56,9,35,<=50K,False,False,False,False,False,False,True,True
58,9,45,>50K,False,False,False,False,False,False,True,True
32,9,34,<=50K,False,False,True,False,False,False,True,False
40,12,60,>50K,False,False,False,False,False,False,True,True
45,9,40,<=50K,False,False,False,False,False,False,True,True
41,15,40,>50K,False,False,False,False,False,False,True,False
42,13,40,<=50K,False,False,False,False,True,False,False,False
59,6,30,<=50K,True,False,False,False,True,False,False,False
19,10,40,<=50K,True,False,True,False,False,False,True,True
58,10,20,<=50K,False,False,True,False,False,False,True,True
38,9,40,>50K,False,True,False,True,False,False,False,True
20,9,40,<=50K,False,False,True,False,False,False,True,False
32,9,30,<=50K,False,False,True,False,False,False,True,False
45,11,45,<=50K,False,False,False,False,False,False,True,False
50,4,40,<=50K,False,False,True,False,False,False,True,True
36,13,40,<=50K,False,False,True,False,False,False,True,False
45,9,60,<=50K,False,False,False,False,False,False,True,True
17,7,12,<=50K,False,False,True,False,False,False,True,True
59,10,40,<=50K,False,False,False,False,False,False,True,True
26,7,40,<=50K,False,False,False,False,False,False,True,True
37,10,75,>50K,False,True,False,True,False,False,False,True
64,9,40,>50K,False,False,False,False,False,False,True,True
33,13,45,<=50K,False,False,True,False,False,False,True,False
33,9,40,>50K,False,False,False,False,False,False,True,False
61,9,40,>50K,False,False,False,False,False,False,True,True
17,5,24,<=50K,False,False,True,False,False,False,True,True
50,14,98,<=50K,False,True,False,False,False,False,True,True
38,14,35,<=50K,True,False,True,False,False,False,True,True
30,9,40,<=50K,False,False,True,False,False,False,True,False
43,9,40,<=50K,False,False,False,False,True,False,False,True
44,10,40,>50K,False,False,False,False,False,False,True,True
35,10,40,<=50K,False,False,True,False,False,False,True,False
25,10,40,<=50K,False,False,True,False,False,False,True,False
24,10,48,>50K,False,False,False,False,False,False,True,False
22,13,15,<=50K,False,False,True,False,False,False,True,False
42,10,40,>50K,True,False,False,False,False,False,True,True
34,12,45,<=50K,False,False,True,False,True,False,False,False
60,13,42,<=50K,False,False,True,False,False,False,True,False
21,9,40,<=50K,False,False,True,False,False,False,True,True
57,14,40,>50K,True,False,False,False,False,False,True,True
41,15,60,>50K,False,False,False,False,False,False,True,True
50,10,45,<=50K,False,False,True,False,False,False,True,True
25,13,40,<=50K,False,False,True,False,False,False,True,False
50,4,40,<=50K,False,False,False,False,False,False,True,True
36,13,45,<=50K,False,False,False,False,False,False,True,True
31,9,40,<=50K,False,False,True,False,False,False,True,False
29,13,56,<=50K,True,False,True,False,False,False,True,True
21,10,45,<=50K,False,False,True,False,False,False,True,True
38,13,40,<=50K,False,False,True,False,True,False,False,False
65,9,16,<=50K,False,False,False,False,False,False,True,True
37,13,60,<=50K,False,True,True,False,False,False,True,False
24,9,40,<=50K,False,False,True,False,False,False,True,True
38,9,80,<=50K,False,False,True,False,False,False,True,True
38,13,40,>50K,False,False,False,False,False,False,True,True
38,10,25,<=50K,False,False,True,True,False,False,False,False
31,9,45,>50K,False,False,False,False,False,False,True,True
55,9,40,>50K,False,False,False,False,False,False,True,True
24,10,40,<=50K,False,False,False,True,False,False,False,False
43,9,40,<=50K,False,False,True,False,False,False,True,False
26,12,45,<=50K,False,False,True,False,False,False,True,True
46,12,33,<=50K,False,False,True,False,False,False,True,False
35,12,40,>50K,False,False,False,False,False,False,True,True
41,10,54,>50K,False,True,False,False,False,False,True,True
26,13,40,<=50K,False,False,True,False,False,False,True,True
34,14,35,>50K,False,False,False,True,False,False,False,True
36,13,40,>50K,False,True,True,False,True,False,False,False
22,10,15,<=50K,False,False,True,False,False,False,True,True
24,10,40,<=50K,False,False,True,False,False,False,True,True
77,10,40,<=50K,False,True,False,False,False,False,True,True
22,3,40,<=50K,False,False,False,False,False,False,True,False
29,10,40,<=50K,False,False,True,False,False,False,True,False
38,9,24,<=50K,False,False,False,False,False,False,True,False
39,9,40,<=50K,False,True,False,False,False,False,True,True
43,10,50,<=50K,False,False,False,False,False,False,True,True
35,9,45,<=50K,False,False,True,False,False,False,True,True
29,7,40,<=50K,False,False,True,False,False,False,True,False
76,14,10,<=50K,False,True,False,False,False,False,True,True
63,9,45,<=50K,False,True,False,False,False,False,True,True
43,10,50,>50K,False,False,False,False,False,False,True,False
58,9,40,<=50K,False,True,False,False,False,False,True,True
66,9,55,<=50K,False,False,True,False,False,False,True,True
41,10,45,<=50K,False,False,True,False,True,False,False,True
26,13,40,<=50K,False,False,True,False,False,False,True,True
47,11,40,<=50K,False,False,True,False,False,False,True,True
55,6,40,<=50K,True,False,False,False,False,False,True,True
53,9,40,<=50K,False,False,False,False,False,False,True,True
17,3,48,<=50K,False,False,True,False,False,False,True,True
30,9,40,<=50K,False,False,True,False,False,False,True,True
49,14,60,<=50K,False,False,True,False,False,False,True,True
19,9,30,<=50K,False,False,True,False,True,False,False,True
45,9,40,<=50K,False,False,False,False,True,False,False,True
26,12,40,<=50K,False,False,True,False,False,False,True,True
38,11,40,>50K,False,False,False,False,False,False,True,True
36,9,40,>50K,True,False,False,False,False,False,True,True
33,9,20,<=50K,False,False,True,False,False,False,True,True
22,10,40,<=50K,True,False,True,False,True,False,False,False
43,13,42,<=50K,False,True,True,False,False,False,True,True
56,12,25,<=50K,False,False,False,False,False,False,True,True
31,13,25,<=50K,False,False,True,False,False,False,True,True
33,13,40,>50K,False,False,False,False,False,False,True,True
26,9,40,<=50K,False,False,False,False,False,False,True,True
33,13,40,>50K,False,False,False,False,False,False,True,True
46,7,30,<=50K,True,False,False,False,False,False,True,True
38,9,40,>50K,True,False,False,False,False,False,True,True
65,7,40,<=50K,False,False,False,False,False,True,False,True
40,11,40,>50K,False,False,False,False,False,False,True,True
42,9,35,<=50K,False,False,False,False,False,False,True,False
26,5,40,<=50K,False,True,False,False,False,False,True,True
36,6,24,<=50K,False,False,False,False,False,False,True,False
62,14,40,>50K,False,False,False,False,False,False,True,True
43,13,45,<=50K,False,False,False,False,False,False,True,True
43,13,45,>50K,False,False,True,False,False,False,True,True
22,9,55,<=50K,False,False,False,False,False,False,True,True
28,9,40,<=50K,False,False,False,False,False,False,True,True
56,10,45,<=50K,False,True,False,False,False,False,True,True
22,12,15,<=50K,False,False,True,False,False,False,True,False
57,13,45,>50K,False,False,True,False,False,False,True,False
39,9,40,<=50K,False,False,True,False,False,False,True,False
26,10,15,<=50K,True,False,True,False,False,False,True,False
17,7,10,<=50K,False,False,True,False,False,False,True,True
40,11,38,>50K,True,False,False,False,False,False,True,True
45,9,40,<=50K,False,False,False,False,True,False,False,True
44,9,40,<=50K,False,False,True,False,True,False,False,True
20,10,10,<=50K,True,False,True,False,False,False,True,False
33,9,40,<=50K,False,False,False,False,False,False,True,False
23,10,40,<=50K,False,False,True,False,False,False,True,True
46,14,30,<=50K,False,True,True,False,False,False,True,True
38,9,50,<=50K,False,False,False,False,False,False,True,True
54,9,40,<=50K,False,False,True,False,False,False,True,True
46,3,45,<=50K,False,False,True,False,False,False,True,False
25,10,40,<=50K,False,False,False,False,False,False,True,True
46,10,40,<=50K,False,False,True,False,False,False,True,False
36,10,40,<=50K,True,False,False,False,False,False,True,False
23,9,25,<=50K,False,False,True,False,False,False,True,False
29,9,40,<=50K,False,False,True,False,False,False,True,True
44,10,6,>50K,False,False,False,False,False,False,True,False
19,10,16,<=50K,False,False,True,False,False,False,True,False
19,9,40,<=50K,False,False,True,False,False,False,True,False
35,9,40,>50K,False,False,False,False,False,False,True,False
27,13,50,<=50K,False,False,True,False,False,False,True,True
46,12,40,<=50K,False,True,True,False,False,False,True,True
34,13,45,>50K,True,False,False,False,False,False,True,True
34,9,35,<=50K,False,False,True,False,False,False,True,False
44,10,40,<=50K,False,False,False,False,False,False,True,True
45,10,40,<=50K,False,False,True,False,False,False,True,False
25,13,55,>50K,False,False,False,False,False,False,True,True
52,13,50,>50K,False,True,False,False,False,False,True,True
20,10,40,<=50K,False,False,True,False,False,False,True,True
28,10,40,<=50K,False,False,True,False,False,False,True,False
50,13,40,>50K,True,False,False,False,False,False,True,True
34,11,64,<=50K,False,False,True,False,False,False,True,False
28,4,40,<=50K,False,False,False,False,False,True,False,True
41,14,65,>50K,False,False,False,False,False,False,True,True
28,9,40,<=50K,False,False,False,False,False,False,True,True
46,9,25,<=50K,False,True,False,False,False,False,True,True
32,10,50,<=50K,False,False,False,False,False,False,True,True
41,10,24,<=50K,True,False,True,False,True,False,False,False
24,9,40,<=50K,False,False,True,False,True,False,False,False
33,10,40,<=50K,False,False,True,False,False,False,True,False
46,16,60,>50K,False,False,False,False,False,False,True,True
31,10,40,<=50K,True,False,False,False,False,False,True,True
35,8,50,>50K,False,False,True,False,False,False,True,True
52,2,40,<=50K,False,False,False,False,False,False,True,True
30,7,19,<=50K,False,False,True,False,False,False,True,False
34,7,40,<=50K,True,False,True,False,True,False,False,True
34,9,40,<=50K,True,False,True,False,False,False,True,False
20,10,30,<=50K,False,False,False,False,False,False,True,True
17,7,18,<=50K,False,False,True,False,False,False,True,True
32,13,40,>50K,True,False,False,False,False,False,True,False
29,9,40,<=50K,False,False,True,False,False,False,True,True
33,6,35,<=50K,False,False,True,False,False,False,True,False
25,9,60,<=50K,False,False,False,False,False,False,True,True
36,14,40,<=50K,True,False,True,False,False,False,True,True
23,9,72,<=50K,False,False,True,False,False,False,True,True
63,9,40,>50K,False,True,False,False,False,False,True,True
47,14,40,<=50K,True,False,False,False,False,False,True,True
40,13,40,<=50K,False,True,False,False,False,False,True,False
30,12,25,>50K,False,False,False,False,False,False,True,False
27,10,40,<=50K,False,False,True,True,False,False,False,True
33,14,50,>50K,False,False,False,False,False,False,True,True
34,9,60,<=50K,True,False,True,False,True,False,False,True
34,10,40,<=50K,True,False,True,False,False,False,True,False
23,10,40,<=50K,False,False,False,False,False,False,True,True
42,10,40,<=50K,True,False,False,False,False,False,True,False
29,13,40,<=50K,False,False,True,False,False,False,True,True
45,9,28,<=50K,False,False,True,False,False,False,True,False
24,9,40,<=50K,True,False,True,False,False,False,True,True
44,10,40,>50K,False,False,False,False,False,False,True,True
27,5,40,<=50K,False,False,True,False,False,False,True,True
20,10,35,<=50K,False,False,True,False,False,False,True,True
44,9,40,<=50K,False,False,False,False,True,False,False,False
51,9,40,<=50K,False,False,False,False,False,False,False,True
20,9,40,<=50K,False,False,False,False,False,False,True,True
19,9,40,<=50K,False,False,True,False,True,False,False,False
45,10,55,>50K,False,True,False,False,False,False,True,True
60,9,40,>50K,False,False,False,False,False,False,True,True
42,12,40,>50K,False,False,False,False,True,False,False,True
44,9,40,>50K,False,True,False,False,False,False,True,False
40,11,40,>50K,False,False,False,True,False,False,False,True
30,9,40,<=50K,False,False,False,False,False,False,True,False
38,10,50,<=50K,False,False,False,False,True,False,False,True
23,9,60,<=50K,False,False,False,False,False,False,True,True
44,12,40,<=50K,False,False,True,False,False,False,True,True
54,9,40,<=50K,True,False,False,False,True,False,False,True
32,13,50,<=50K,False,False,False,False,False,False,True,True
50,2,40,<=50K,False,False,False,False,False,False,True,True
24,13,20,<=50K,False,False,True,False,False,False,True,False
37,9,60,<=50K,False,False,False,False,False,False,True,False
52,9,40,<=50K,False,False,True,False,False,False,True,True
38,10,40,<=50K,False,False,False,False,False,False,True,True
49,14,45,>50K,False,False,False,False,False,False,True,True
30,13,16,>50K,False,False,False,False,False,False,True,False
60,10,40,>50K,False,False,True,False,False,False,True,True
35,9,40,<=50K,False,False,True,False,False,False,True,True
30,9,60,<=50K,False,False,True,False,False,False,True,True
67,11,24,<=50K,False,False,True,False,False,False,True,False
46,13,40,<=50K,False,False,True,False,False,False,True,False
17,5,6,<=50K,False,False,True,False,False,False,True,True
22,10,30,<=50K,False,False,True,False,False,False,True,True
27,6,40,<=50K,False,False,True,False,False,False,True,True
23,9,35,<=50K,False,False,True,False,False,False,True,False
33,12,45,<=50K,False,False,False,False,False,False,True,True
43,10,20,<=50K,False,True,False,False,False,False,True,True
28,13,20,<=50K,True,False,True,False,False,False,True,True
41,9,40,<=50K,False,False,False,False,False,False,True,False
25,10,20,<=50K,False,False,False,False,True,False,False,False
59,9,45,<=50K,True,False,False,False,False,False,True,True
45,13,40,<=50K,True,False,True,False,False,False,True,False
38,13,60,>50K,False,False,False,False,False,False,True,True
40,9,35,<=50K,False,False,True,False,False,False,True,False
46,9,40,<=50K,True,False,True,False,False,False,True,True
35,12,60,<=50K,False,False,True,False,False,False,True,False
34,9,25,<=50K,False,False,True,False,False,False,True,False
33,13,20,<=50K,False,False,True,False,False,False,True,True
41,9,36,<=50K,False,False,True,False,False,False,True,False
20,10,40,<=50K,False,False,True,False,False,False,True,True
23,3,40,<=50K,False,False,True,False,False,False,True,True
26,10,35,<=50K,False,False,True,False,False,False,True,False
23,9,40,<=50K,True,False,True,False,False,False,True,True
62,9,40,<=50K,True,False,False,False,False,False,True,True
52,10,40,<=50K,False,False,False,False,False,False,True,True
58,10,42,<=50K,False,False,True,False,False,False,True,False
25,13,40,<=50K,False,False,True,False,False,False,True,False
24,13,40,<=50K,False,False,True,False,True,False,False,True
19,10,8,<=50K,False,False,True,False,False,False,True,True
43,10,40,<=50K,False,False,False,False,False,False,True,True
47,9,40,<=50K,True,False,True,False,True,False,False,False
39,9,40,<=50K,False,False,True,False,False,False,True,False
49,11,42,<=50K,False,False,False,False,False,False,True,True
32,11,45,<=50K,False,False,True,False,False,False,True,True
34,10,50,>50K,False,False,False,False,False,False,True,True
28,9,45,<=50K,False,False,True,False,False,False,True,True
25,10,20,<=50K,False,False,True,False,False,False,False,False
34,13,50,>50K,False,False,False,False,False,False,True,True
38,13,80,>50K,False,True,False,False,False,False,True,True
50,9,50,>50K,False,False,False,False,False,False,True,True
24,10,50,<=50K,True,False,True,False,True,False,False,True
37,10,45,>50K,True,False,False,False,False,False,True,True
44,10,58,>50K,False,False,True,False,False,False,True,True
28,10,40,<=50K,False,False,False,False,False,False,True,False
42,13,40,>50K,False,False,False,False,False,False,True,True
74,10,9,<=50K,False,False,True,False,False,False,True,False
38,9,50,<=50K,False,True,False,False,False,False,True,True
44,14,40,<=50K,False,True,False,False,False,False,True,True
44,7,46,<=50K,False,False,True,False,False,True,False,False
26,9,40,<=50K,False,False,True,False,False,False,True,True
36,9,40,<=50K,False,False,False,False,True,False,False,True
41,12,50,>50K,False,False,False,False,False,False,True,False
67,15,48,>50K,False,False,False,False,False,False,True,True
39,8,50,<=50K,True,False,False,False,False,False,True,True
57,2,30,<=50K,False,False,False,False,True,False,False,False
29,11,40,<=50K,False,False,True,False,False,False,True,True
31,13,45,<=50K,False,True,True,False,False,False,True,False
44,10,40,<=50K,False,False,False,False,False,False,True,True
29,16,40,<=50K,False,False,True,False,False,False,True,True
30,10,40,<=50K,False,False,True,False,False,False,True,False
27,9,40,<=50K,False,False,True,False,False,False,True,True
27,10,50,<=50K,False,False,False,False,False,False,True,True
32,9,45,<=50K,False,False,True,False,False,False,True,False
58,6,8,<=50K,False,False,False,False,False,False,True,False
35,10,40,<=50K,True,False,False,False,False,False,True,True
21,9,36,<=50K,False,False,True,False,False,False,True,True
28,10,40,<=50K,False,False,True,False,False,False,True,True
46,10,50,<=50K,False,True,True,False,False,False,True,True
36,9,40,<=50K,False,True,True,False,False,False,True,False
72,7,40,<=50K,False,False,False,False,False,False,True,False
